Timestamp,Station,WindDirection,WindSpeedMean_10min,WindSpeedLast10Min,WindGustMax,Temperature,MinTemp_10cm_6hr,DewPointTemp,SunshineDuration,GlobalRadiation,PrecipitationDuration,PrecipitationAmount,AirPressure,Visibility,CloudCover,RelativeHumidity,WeatherCode,WeatherCodeIndicator,Fog,Rain,Snow,Thunder,IceFormation
2023-01-01 00:00:00,275,220,100,90,150,153,     ,76,0,0,0,-1,10073,82,    8,59,   23,7,    0,    1,    0,    0,    0
2023-01-01 01:00:00,275,220,100,90,170,146,     ,77,0,0,0,-1,10078,83,    8,63,   81,7,    0,    1,    0,    0,    0
2023-01-01 02:00:00,275,210,90,90,140,150,     ,67,0,0,0,-1,10083,83,    8,57,   23,7,    0,    1,    0,    0,    0
2023-01-01 03:00:00,275,220,90,90,150,147,     ,64,0,0,0,0,10086,83,    8,57,     ,5,    0,    0,    0,    0,    0
2023-01-01 04:00:00,275,240,80,70,180,141,     ,72,0,0,0,-1,10096,83,    8,63,   23,7,    0,    1,    0,    0,    0
2023-01-01 05:00:00,275,230,70,100,150,140,  130,60,0,0,0,0,10101,83,    8,58,    2,7,    0,    0,    0,    0,    0
2023-01-01 06:00:00,275,230,90,80,160,132,     ,56,0,0,0,-1,10116,83,    8,59,   81,7,    0,    1,    0,    0,    0
2023-01-01 07:00:00,275,220,80,70,140,112,     ,62,0,0,7,1,10126,75,    8,71,   23,7,    0,    1,    0,    0,    0
2023-01-01 08:00:00,275,210,60,60,100,114,     ,64,0,4,0,0,10134,75,    8,71,    2,7,    0,    0,    0,    0,    0
2023-01-01 09:00:00,275,210,60,60,100,115,     ,74,0,23,0,0,10140,75,    8,76,     ,5,    0,    0,    0,    0,    0
2023-01-01 10:00:00,275,210,60,70,100,115,     ,84,0,24,0,-1,10138,70,    8,81,   23,7,    0,    1,    0,    0,    0
2023-01-01 11:00:00,275,200,60,50,110,116,  103,88,0,30,0,-1,10142,70,    8,82,   23,7,    0,    1,    0,    0,    0
2023-01-01 12:00:00,275,210,50,60,100,124,     ,92,3,45,0,0,10143,75,    8,80,     ,5,    0,    0,    0,    0,    0
2023-01-01 13:00:00,275,220,60,50,100,123,     ,85,0,25,0,0,10144,75,    8,77,     ,5,    0,    0,    0,    0,    0
2023-01-01 14:00:00,275,200,40,30,80,123,     ,85,0,9,0,0,10144,75,    8,77,     ,5,    0,    0,    0,    0,    0
2023-01-01 15:00:00,275,190,40,40,60,121,     ,81,0,2,0,0,10145,75,    8,76,     ,5,    0,    0,    0,    0,    0
