Hour,ammonium,nitrate,phosphate,Station,WindDirection,WindSpeedMean_10min,WindSpeedLast10Min,WindGustMax,Temperature,MinTemp_10cm_6hr,DewPointTemp,SunshineDuration,GlobalRadiation,PrecipitationDuration,PrecipitationAmount,AirPressure,Visibility,CloudCover,RelativeHumidity,WeatherCode,WeatherCodeIndicator,Fog,Rain,Snow,Thunder,IceFormation
2023-01-01 00:00:00,1.0379833333333333,4.424633333333333,0.0034500000000000004,275,220,100,90,150,153,     ,76,0,0,0,-1,10073,82,    8,59,   23,7,0,1,0,0,0
2023-01-01 01:00:00,1.93865,3.0623666666666667,0.3807333333333333,275,220,100,90,170,146,     ,77,0,0,0,-1,10078,83,    8,63,   81,7,0,1,0,0,0
2023-01-01 02:00:00,1.8856,3.3447833333333334,0.16921666666666668,275,210,90,90,140,150,     ,67,0,0,0,-1,10083,83,    8,57,   23,7,0,1,0,0,0
2023-01-01 03:00:00,0.9330999999999999,2.8674833333333334,0.16121666666666667,275,220,90,90,150,147,     ,64,0,0,0,0,10086,83,    8,57,     ,5,0,0,0,0,0
2023-01-01 04:00:00,0.7729333333333333,2.491966666666667,0.11278333333333333,275,240,80,70,180,141,     ,72,0,0,0,-1,10096,83,    8,63,   23,7,0,1,0,0,0
2023-01-01 05:00:00,0.6610499999999999,1.7091833333333333,0.20185,275,230,70,100,150,140,  130,60,0,0,0,0,10101,83,    8,58,    2,7,0,0,0,0,0
2023-01-01 06:00:00,0.33358333333333334,0.9574333333333332,0.31483333333333335,275,230,90,80,160,132,     ,56,0,0,0,-1,10116,83,    8,59,   81,7,0,1,0,0,0
2023-01-01 07:00:00,0.9506,1.1072,0.7266999999999999,275,220,80,70,140,112,     ,62,0,0,7,1,10126,75,    8,71,   23,7,0,1,0,0,0
2023-01-01 08:00:00,0.47555000000000003,1.2074500000000001,0.26936666666666664,275,210,60,60,100,114,     ,64,0,4,0,0,10134,75,    8,71,    2,7,0,0,0,0,0
2023-01-01 09:00:00,0.8793000000000001,1.2596333333333334,1.1135166666666665,275,210,60,60,100,115,     ,74,0,23,0,0,10140,75,    8,76,     ,5,0,0,0,0,0
2023-01-01 10:00:00,0.5926833333333333,1.4534666666666667,0.9406833333333334,275,210,60,70,100,115,     ,84,0,24,0,-1,10138,70,    8,81,   23,7,0,1,0,0,0
2023-01-01 11:00:00,0.23808333333333334,1.5704666666666667,0.5598333333333334,275,200,60,50,110,116,  103,88,0,30,0,-1,10142,70,    8,82,   23,7,0,1,0,0,0
2023-01-01 12:00:00,0.1076,1.8921999999999999,0.4078666666666667,275,210,50,60,100,124,     ,92,3,45,0,0,10143,75,    8,80,     ,5,0,0,0,0,0
2023-01-01 13:00:00,0.18175,1.9221499999999998,0.4247166666666667,275,220,60,50,100,123,     ,85,0,25,0,0,10144,75,    8,77,     ,5,0,0,0,0,0
2023-01-01 14:00:00,0.18458333333333332,1.9835333333333334,0.5703833333333334,275,200,40,30,80,123,     ,85,0,9,0,0,10144,75,    8,77,     ,5,0,0,0,0,0
2023-01-01 15:00:00,0.4215666666666667,1.8721166666666667,0.6190666666666667,275,190,40,40,60,121,     ,81,0,2,0,0,10145,75,    8,76,     ,5,0,0,0,0,0
2023-01-01 16:00:00,0.8232666666666667,1.7189333333333332,1.11365,275,180,40,40,70,119,     ,82,0,0,0,0,10142,75,    8,77,     ,5,0,0,0,0,0
2023-01-01 17:00:00,0.41123333333333334,2.6372333333333335,0.6803666666666667,275,170,50,50,110,115,  111,88,0,0,0,-1,10140,66,    8,83,   57,7,0,1,0,0,0
2023-01-01 18:00:00,0.6735,2.7812166666666664,1.1060166666666666,275,170,40,40,70,104,     ,98,0,0,10,12,10136,56,    8,95,   62,7,0,1,0,0,0
2023-01-01 19:00:00,1.4224666666666665,2.69075,1.4643333333333333,275,160,40,40,60,103,     ,99,0,0,10,13,10127,59,    8,96,   62,7,0,1,0,0,0
2023-01-01 20:00:00,1.4460166666666665,2.1702,1.5292833333333333,275,170,40,50,70,104,     ,100,0,0,10,18,10120,58,    8,97,   58,7,0,1,0,0,0
2023-01-01 21:00:00,1.7395,2.7789166666666665,1.78865,275,170,40,40,60,104,     ,101,0,0,10,14,10113,57,    8,97,   62,7,0,1,0,0,0
2023-01-01 22:00:00,6.636216666666667,2.6772,4.58385,275,180,40,50,70,108,     ,101,0,0,9,9,10104,60,    8,95,   51,7,0,1,0,0,0
2023-01-01 23:00:00,9.000583333333333,3.3001,4.727233333333333,275,180,50,50,80,109,  102,101,0,0,0,-1,10099,65,    8,95,   81,7,0,1,0,0,0
2023-01-02 00:00:00,6.599966666666666,5.076899999999999,2.7847500000000003,275,200,50,50,90,114,     ,102,0,0,0,-1,10093,65,    8,92,   23,7,0,1,0,0,0
2023-01-02 01:00:00,6.696133333333334,6.427983333333333,2.839233333333333,275,180,40,40,70,118,     ,102,0,0,0,-1,10089,70,    8,90,   81,7,0,1,0,0,0
2023-01-02 02:00:00,6.895366666666666,7.170916666666667,3.058983333333333,275,200,50,50,90,119,     ,108,0,0,9,6,10090,61,    8,92,   61,7,0,1,0,0,0
2023-01-02 03:00:00,4.673866666666667,8.843449999999999,1.5,275,200,60,50,90,122,     ,110,0,0,4,2,10089,65,    8,92,   51,7,0,1,0,0,0
2023-01-02 04:00:00,1.8216666666666665,9.877283333333333,0.05711666666666667,275,210,60,60,110,121,     ,111,0,0,6,2,10091,63,    8,93,   52,7,0,1,0,0,0
2023-01-02 05:00:00,0.8563,9.417983333333332,0.15938333333333335,275,200,70,70,120,122,  107,109,0,0,0,-1,10094,65,    8,91,   51,7,0,1,0,0,0
2023-01-02 06:00:00,0.4405,7.345416666666667,0.027583333333333335,275,270,70,60,140,102,     ,93,0,0,7,13,10111,65,    8,94,   81,7,0,1,0,0,0
2023-01-02 07:00:00,1.1746833333333333,4.8558,0.1564333333333333,275,250,50,40,90,93,     ,86,0,1,2,1,10128,65,    8,94,   23,7,0,1,0,0,0
2023-01-02 08:00:00,0.59585,4.047583333333333,0.025650000000000003,275,260,50,50,80,90,     ,82,0,4,0,-1,10141,65,    8,94,   81,7,0,1,0,0,0
2023-01-02 09:00:00,2.075483333333333,3.097283333333333,0.43135,275,250,40,40,70,89,     ,79,0,11,0,-1,10154,65,    8,93,   23,7,0,1,0,0,0
2023-01-02 10:00:00,1.6640666666666666,3.7925,0.11876666666666667,275,240,40,40,80,88,     ,76,0,26,0,0,10157,65,    8,91,     ,5,0,0,0,0,0
2023-01-02 11:00:00,2.00495,3.2714333333333334,0.24025000000000002,275,230,40,40,70,92,   87,76,0,38,0,0,10162,70,    8,89,    2,7,0,0,0,0,0
2023-01-02 12:00:00,1.0670499999999998,3.4985500000000003,0.05753333333333333,275,220,40,40,70,92,     ,74,0,33,0,0,10166,70,    8,88,     ,5,0,0,0,0,0
2023-01-02 13:00:00,1.6833833333333332,3.446833333333333,0.28511666666666663,275,210,40,40,70,88,     ,78,0,10,6,2,10170,60,    8,93,   81,7,0,1,0,0,0
2023-01-02 14:00:00,1.0883166666666666,3.3760333333333334,0.1671,275,220,40,40,60,87,     ,81,0,5,9,8,10178,57,    8,96,   51,7,0,1,0,0,0
2023-01-02 15:00:00,1.3186333333333333,3.37085,0.3060833333333334,275,240,30,40,60,82,     ,74,0,2,0,-1,10188,58,    7,94,   22,7,0,1,0,0,0
2023-01-02 16:00:00,1.8386166666666668,3.142033333333333,0.7087833333333333,275,240,30,40,50,80,     ,73,0,0,0,-1,10196,59,    8,95,   51,7,0,1,0,0,0
2023-01-02 17:00:00,1.68675,3.4272666666666667,0.6451666666666667,275,250,30,30,60,77,   73,71,0,0,3,1,10204,58,    8,96,   23,7,0,1,0,0,0
2023-01-02 18:00:00,3.1558166666666665,4.340866666666667,1.93895,275,240,30,30,50,61,     ,58,0,0,0,0,10216,50,    5,97,   10,7,0,0,0,0,0
2023-01-02 19:00:00,1.35465,4.912166666666667,0.8436666666666667,275,230,30,30,50,62,     ,56,0,0,0,0,10226,65,    7,96,     ,5,0,0,0,0,0
2023-01-02 20:00:00,2.6540166666666667,4.5384166666666665,2.0892,275,230,30,30,40,47,     ,44,0,0,0,0,10234,26,    1,97,   10,7,0,0,0,0,0
2023-01-02 21:00:00,1.2724499999999999,4.688266666666666,0.9742833333333334,275,220,20,20,40,38,     ,36,0,0,0,0,10239,21,    0,98,   10,7,0,0,0,0,0
2023-01-02 22:00:00,2.0077000000000003,4.0304,1.37005,275,210,30,30,40,48,     ,44,0,0,0,0,10246,19,    5,97,   10,7,0,0,0,0,0
2023-01-02 23:00:00,1.4014833333333334,3.3747,0.9544833333333334,275,220,30,20,40,32,   17,32,0,0,0,0,10252,2,    2,100,   34,7,1,0,0,0,0
2023-01-03 00:00:00,1.09875,3.19315,0.9548833333333333,275,210,20,20,30,40,     ,39,0,0,0,0,10255,0,    8,99,   34,7,1,0,0,0,0
2023-01-03 01:00:00,1.3699333333333332,2.2984,1.2913666666666666,275,230,20,10,30,48,     ,48,0,0,0,0,10260,1,    9,100,   32,7,1,0,0,0,0
2023-01-03 02:00:00,0.7694666666666666,2.2791833333333336,1.08215,275,190,20,20,50,46,     ,46,0,0,0,0,10260,1,    9,99,   33,7,1,0,0,0,0
2023-01-03 03:00:00,0.4982333333333333,2.5529333333333333,1.1033166666666667,275,210,30,30,60,50,     ,47,0,0,0,0,10259,16,    8,98,   20,7,1,0,0,0,0
2023-01-03 04:00:00,0.35718333333333335,2.16315,1.2663166666666668,275,200,30,40,60,45,     ,42,0,0,0,0,10264,14,    8,98,   20,7,1,0,0,0,0
2023-01-03 05:00:00,0.5619333333333334,1.9619333333333333,1.6711166666666666,275,180,30,20,50,32,   15,29,0,0,0,0,10264,13,    1,98,   10,7,0,0,0,0,0
2023-01-03 06:00:00,0.08628333333333332,1.7893000000000001,1.2545666666666666,275,140,20,20,30,27,     ,24,0,0,0,0,10261,23,    7,97,   10,7,0,0,0,0,0
2023-01-03 07:00:00,0.16603333333333334,2.0345999999999997,1.1027500000000001,275,130,20,20,30,30,     ,26,0,1,0,0,10262,28,    8,97,   10,7,0,0,0,0,0
2023-01-03 08:00:00,0.27985,2.0144666666666664,0.9712,275,160,30,30,40,45,     ,43,0,7,0,-1,10265,31,    8,98,   52,7,0,1,0,0,0
2023-01-03 09:00:00,0.17198,1.57486,0.2893,275,190,40,30,70,57,     ,53,0,10,0,-1,10265,32,    8,97,   22,7,0,1,0,0,0
2023-01-03 10:00:00,0.70955,1.7555,1.8129,275,190,40,40,70,64,     ,60,0,15,0,0,10263,40,    8,96,   10,7,0,0,0,0,0
2023-01-03 11:00:00,0.5905833333333333,1.6077833333333333,1.9802,275,210,40,40,70,69,   17,64,0,11,0,-1,10260,29,    8,96,   52,7,0,1,0,0,0
2023-01-03 12:00:00,0.6484,2.896866666666667,2.6958333333333333,275,200,40,40,70,73,     ,63,0,11,0,-1,10254,61,    8,93,   22,7,0,1,0,0,0
2023-01-03 13:00:00,1.1106333333333334,3.3286166666666666,3.4507333333333334,275,200,50,60,90,76,     ,58,0,17,0,0,10251,70,    8,88,     ,5,0,0,0,0,0
2023-01-03 14:00:00,1.91725,3.055133333333333,4.3726666666666665,275,200,50,50,90,76,     ,52,5,15,0,0,10250,70,    8,84,    2,7,0,0,0,0,0
2023-01-03 15:00:00,1.5693833333333334,3.4364833333333333,4.131033333333333,275,180,40,40,70,69,     ,50,0,2,0,0,10248,70,    8,87,     ,5,0,0,0,0,0
2023-01-03 16:00:00,2.0477499999999997,4.373900000000001,4.885716666666666,275,180,50,50,80,71,     ,51,0,0,0,0,10244,70,    8,86,     ,5,0,0,0,0,0
2023-01-03 17:00:00,2.35855,3.7683999999999997,4.949416666666666,275,180,60,60,90,76,   62,51,0,0,0,0,10239,70,    8,84,    2,7,0,0,0,0,0
2023-01-03 18:00:00,1.8341666666666667,4.621133333333334,4.664633333333333,275,190,60,60,110,78,     ,51,0,0,0,0,10231,70,    8,83,     ,5,0,0,0,0,0
2023-01-03 19:00:00,2.92795,4.237066666666666,5.646016666666667,275,180,60,70,110,77,     ,51,0,0,0,0,10223,70,    8,83,     ,5,0,0,0,0,0
